hunt_code,residency,points,public_permits_2025,public_permits_2026,public_permits_2026_source,max_point_permits_2025,max_point_permits_2026,random_permits_2025,random_permits_2026,guaranteed_at_2025,guaranteed_at_2026,permit_delta_2025_to_2026,projected_applicants_2026_source,guaranteed_delta_2025_to_2026,applicants_above,applicants_at_level,random_draw_odds_2026,gap,delta_gap,status,trend,draw_outlook
BI6503,Nonresident,24,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,50,13,0.072,6,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,23,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,63,31,0.076,7,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,22,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,94,11,0.074,8,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,21,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,105,20,0.058,9,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,20,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,125,27,0.044,10,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,19,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,152,26,0.058,11,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,18,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,178,34,0.044,12,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,17,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,212,345,0.044,13,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,16,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,557,173,0.036,14,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,15,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,730,136,0.034,15,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,14,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,866,138,0.038,16,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,13,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,1004,130,0.056,17,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,12,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,1134,132,0.050,18,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,11,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,1266,150,0.016,19,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,10,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,1416,163,0.030,20,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,9,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,1579,196,0.024,21,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,8,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,1775,229,0.038,22,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,7,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,2004,252,0.028,23,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,6,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,2256,238,0.022,24,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,5,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,2494,209,0.020,25,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,4,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,2703,214,0.012,26,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,3,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,2917,247,0.004,27,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,2,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,3164,300,0.004,28,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,1,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,3464,0,0.004,29,-1,BEHIND,GREEN,LONG ODDS
BI6503,Nonresident,0,2,2,posted_2026,1,1,1,1,30,30,0,projected_2026,0,3464,332,0.000,30,-1,BEHIND,GREEN,LONG ODDS
BI6504,Resident,32,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,0,0,0.000,-4,0,MAX POOL,YELLOW,GREEN LIGHT
BI6504,Resident,31,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,0,0,0.000,-3,0,MAX POOL,YELLOW,GREEN LIGHT
BI6504,Resident,30,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,0,0,0.000,-2,0,MAX POOL,YELLOW,GREEN LIGHT
BI6504,Resident,29,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,0,0,0.000,-1,0,MAX POOL,YELLOW,GREEN LIGHT
BI6504,Resident,28,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,0,0,0.000,0,0,MAX POOL,YELLOW,GREEN LIGHT
BI6504,Resident,27,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,0,11,0.518,1,0,ON EDGE,YELLOW,MAY DRAW IN 5-10 YEARS
BI6504,Resident,26,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,11,17,0.574,2,0,BEHIND,YELLOW,MAY DRAW IN 5-10 YEARS
BI6504,Resident,25,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,28,16,0.478,3,0,BEHIND,YELLOW,MAY DRAW IN 5-10 YEARS
BI6504,Resident,24,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,44,18,0.474,4,0,BEHIND,YELLOW,MAY DRAW IN 5-10 YEARS
BI6504,Resident,23,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,62,18,0.430,5,0,BEHIND,YELLOW,MAY DRAW IN 5-10 YEARS
BI6504,Resident,22,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,80,24,0.448,6,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,21,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,104,14,0.422,7,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,20,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,118,26,0.412,8,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,19,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,144,20,0.422,9,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,18,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,164,27,0.336,10,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,17,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,191,37,0.294,11,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,16,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,228,32,0.298,12,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,15,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,260,24,0.328,13,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,14,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,284,28,0.286,14,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,13,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,312,48,0.280,15,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,12,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,360,48,0.272,16,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,11,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,408,64,0.206,17,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,10,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,472,72,0.212,18,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,9,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,544,88,0.176,19,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,8,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,632,117,0.158,20,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,7,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,749,100,0.160,21,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,6,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,849,132,0.120,22,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,5,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,981,141,0.104,23,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,4,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,1122,121,0.090,24,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,3,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,1243,150,0.070,25,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,2,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,1393,137,0.040,26,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,1,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,1530,0,0.040,27,0,BEHIND,YELLOW,LONG ODDS
BI6504,Resident,0,5,5,posted_2026,3,3,2,2,27,28,0,projected_2026,1,1530,226,0.014,28,0,BEHIND,YELLOW,LONG ODDS
BI6504,Nonresident,32,2,2,posted_2026,1,1,1,1,29,30,0,projected_2026,1,0,0,0.000,-2,0,MAX POOL,YELLOW,GREEN LIGHT
BI6504,Nonresident,31,2,2,posted_2026,1,1,1,1,29,30,0,projected_2026,1,0,0,0.000,-1,0,MAX POOL,YELLOW,GREEN LIGHT
BI6504,Nonresident,30,2,2,posted_2026,1,1,1,1,29,30,0,projected_2026,1,0,0,0.000,0,0,MAX POOL,YELLOW,GREEN LIGHT
